id,name,unit,price
1,Yoghurt,deciliter,3.03
2,Arugula,deciliter,3.77
3,Gula Melaka,deciliter,0.53
4,Mahlab,centiliter,2.99
5,Parmesan Cheese,milliliter,2.25
6,Barberry,centiliter,2.35
7,Juniper Berries,centiliter,3.6
8,Lettuce,liter,2.96
9,Fingerlime,centiliter,3.51
10,Watermelon,liter,0.84
11,Dashi,centiliter,0.72
12,Rockmelon,centiliter,0.89
13,Green Tea Noodles,centiliter,4
14,Nashi Pear,liter,2.87
15,Eggs,deciliter,1.95
16,Corn Oil,milliliter,0.63
17,Cranberry,milliliter,1.71
18,Farmed Prawns,deciliter,3.52
19,Apple Juice Concentrate,liter,2.93
20,Pine Nut,liter,3.09
21,Chia Seeds,deciliter,3.7
22,Kiwi Fruit,liter,0.8
23,Turkey,liter,0.05
24,Chickpea,deciliter,3.02
25,Sesame Seeds,deciliter,0.57
26,Cannellini Beans,deciliter,1.94
27,Kumera,centiliter,3.79
28,Dried Chinese Broccoli,milliliter,0.98
29,Tinned,centiliter,3.26
30,Kidneys,liter,2.37
31,Broccoli,liter,2.11
32,Mackerel,liter,0.95
33,Borlotti Beans,deciliter,2.32
34,Rhubarb,deciliter,0.29
35,Spelt,deciliter,3.07
36,Sunflower Seeds,deciliter,1.25
37,Papaya,milliliter,3.7
38,Cocoa Powder,deciliter,2.75
39,Haloumi,deciliter,2.65
40,Blueberries,centiliter,2.51
41,Clams,deciliter,2.06
42,Wholegrain Bread,milliliter,1.62
43,Arrowroot,deciliter,4
44,Tea Oil,deciliter,1.56
45,Polenta,centiliter,0.11
46,Blackberries,milliliter,3.81
47,Kidney Beans,milliliter,3.24
48,Cherries,liter,3.25
49,Canola Oil,liter,3.63
50,Pumpkin Seed,liter,2.51
51,Kudzu,milliliter,2.74
52,Peaches,deciliter,2.19
53,Pork,liter,0.03
54,Tomatoes,milliliter,2.79
55,Hijiki,milliliter,3.63
56,Ham,milliliter,0.17
57,Lime Leaves,deciliter,2.91
58,Brown Rice,milliliter,1.2
59,Rice Paper,centiliter,0.65
60,Plums,deciliter,2.9
61,Salmon,centiliter,2.55
62,Fruit,deciliter,0.62
63,Scallops,centiliter,2
64,Goat Cheese,liter,1.33
65,Berries,deciliter,2.07
66,Apples,centiliter,1.06
67,Shiitake Mushrooms,deciliter,0.16
68,Vanilla Beans,centiliter,3.62
69,Safflower Oil,liter,0.34
70,Buckwheat Noodles,centiliter,3.99
71,Apple Juice,milliliter,0.68
72,Honey,milliliter,2.07
73,Olive Oil,centiliter,0.93
74,Paprik,centiliter,2.87
75,Wakame,deciliter,2.07
76,Peppermint,milliliter,2.46
77,Trout,milliliter,0.36
78,Annatto Seed,centiliter,2.8
79,Rye,liter,1.28
80,Cavalo,liter,0.58
81,Besan,milliliter,0.93
82,Pears,milliliter,2.17
83,Squash,centiliter,3.4
84,Star Anise,milliliter,3.46
85,Butternut Lettuce,milliliter,3.04
86,Fennel Seeds,milliliter,3.23
87,Malt Vinegar,liter,0.05
88,Brazil Nut,centiliter,3.49
89,Soy Beans,centiliter,1.2
90,Rye Bread,milliliter,0.04
91,Ricotta,deciliter,3.2
92,Cassia bark,centiliter,2.61
93,Galangal,milliliter,0.17
94,Loquats,centiliter,2.8
95,Hokkien Noodles,centiliter,1.12
96,Brie,deciliter,3
97,Cos Lettuce,milliliter,3.84
98,Corella Pear,milliliter,2.58
99,Pepitas,deciliter,1.93
100,Apple Cider Vinegar,centiliter,2.82
101,Tom Yum,milliliter,1.25
102,Arborio Rice,milliliter,0.67
103,Hazelnut,liter,2.71
