recipe_id,location_id,price
1,13,11.95
1,21,9.09
1,18,11.36
1,16,5.38
1,11,9.43
2,18,11.43
2,7,11.7
3,11,2.32
3,4,5.39
3,23,9.18
3,13,13.45
4,15,6.19
4,20,12.42
5,23,13.66
6,24,4.23
6,25,6.69
6,19,13.12
6,13,12.9
7,5,6.71
7,7,10.67
8,2,4.03
8,20,13.42
9,11,9.81
9,5,9.42
9,10,12.05
9,9,11.42
9,23,7.46
9,20,10.03
10,24,10.07
10,19,13.95
10,13,12.73
10,11,10.56
11,8,6.44
11,18,11.6
11,24,10.85
11,14,11.73
11,20,11.93
12,13,8.58
12,25,5.7
12,20,12.67
13,15,8.29
13,23,4.56
13,21,10.88
13,18,8.39
14,15,6.22
14,9,10.63
14,24,8.59
15,10,11.4
16,16,11.69
16,10,4.28
16,24,11.86
16,7,8.85
17,1,6.15
17,17,9.66
18,5,6.04
18,24,11.58
18,15,11
18,23,12.05
18,1,9.42
19,7,11.28
19,16,4.47
19,19,8.87
19,20,13.42
20,23,10.61
20,4,4.09
20,21,6.08
20,17,9.01
21,10,3.07
21,8,12.04
21,16,2.63
22,15,11.82
22,18,10.11
22,21,9.38
23,17,13.2
23,19,10.08
23,20,5.17
24,22,8.83
24,6,9.82
24,19,3.1
25,15,11.34
25,16,6.64
25,1,13.4
25,7,10.17
25,13,10.13
26,25,4.6
26,23,4.08
26,16,12.71
26,5,4.11
26,18,11.6
27,2,4.85
27,25,5.79
27,4,4.21
27,21,12.28
27,11,4.33
28,17,10.11
28,15,4.42
28,18,2.99
28,7,11.37
28,21,7.12
29,13,7.32
29,3,3.87
29,14,11.41
29,19,5.31
30,15,6.37
30,5,8.34
30,16,12.7
30,22,6.54
31,10,2.4
31,11,6.74
31,1,7.75
31,22,8.82
32,19,12.71
32,11,4
33,24,10.52
33,18,5.8
33,10,13.49
33,20,2.1
33,16,9.24
33,7,6.59
34,2,9.77
35,14,3.7
35,7,5.27
35,8,7.6
35,22,11.36
35,13,10.98
37,23,5.49
37,8,13.52
37,12,3.96
37,20,4.45
38,5,8.89
39,17,10.97
39,13,4.16
39,22,8.76
39,24,2.27
39,1,13.16
40,20,2.31
41,24,12.38
41,3,13.77
41,15,7.21
41,16,4.19
42,15,6.29
42,21,7.7
42,17,12.43
43,24,5.92
43,11,9.61
44,2,7.16
44,1,2.45
44,7,6.51
44,3,8.76
44,19,11.75
45,25,8.52
46,20,8.26
46,16,5.05
46,13,3.46
47,3,5.17
47,13,11.46
47,20,11.04
47,16,4.05
47,15,13.3
47,1,5.36
48,22,7.81
48,23,4.46
48,9,11.5
49,12,12.84
49,17,6.48
49,16,5.08
50,8,9
50,7,5.72
51,20,6.5
51,13,5.15
52,22,6.18
52,7,11.08
52,12,4.05
53,17,6.01
53,20,4.66
53,23,4.5
53,22,11.79
54,14,11.66
54,16,12.68
55,4,5.46
55,14,6.01
55,12,7.71
56,23,12.55
56,22,4.5
56,14,4.51
57,4,6.93
57,14,10.86
57,7,8.84
57,10,11.18
57,21,13.02
58,3,8.93
58,2,8.9
58,22,3.52
58,21,3.04
60,8,12.39
60,11,11.43
61,21,13.57
61,10,3.44
62,17,10.5
62,19,6.63
62,13,2.29
62,6,4.1
62,23,5.22
